"","V1","V5","V10","V11","V26","V36","V37","V42","V44","V47","V48","V51","V54","V60","V70","V74","V77","V88","V91","V96","V99","V114","V120","V122","V123","V127","V128","V134","V139","V140","V142","V148","V151","V153","V160","V162","V166","V173","V178","V180","V181","V186","V191","V192","V193","V197","V204","V210","V212","V214","V216","V219","V223","V228","V257","V258","V262","V270","V271","V281","V283","V287","V293","V296","V308","V312","V313","V317","V321","V329","V333","V343","V347","V348","V349","V355","V360","V364","V366","V367","V371","V373","V377","V385","V388","V392","V393","V394","V424","V432","V436","V437","V440","V446","V450","V458","V470","V480","V483","V499"
"287",9,10,11,6,5,7,14,6,11,13,12,14,9,14,7,15,11,3,8,18,8,10,13,18,17,9,8,15,10,16,15,17,14,15,20,17,16,10,14,20,8,12,17,20,14,10,15,18,17,9,9,15,17,18,15,17,18,22,16,16,20,0,17,18,9,6,17,11,21,16,18,14,16,15,14,8,18,10,9,8,12,10,8,17,17,10,8,10,15,13,17,20,19,19,16,17,11,17,18,17
"293",12,13,10,11,12,12,3,11,10,16,11,7,14,13,12,18,14,14,13,21,13,9,16,21,20,14,13,8,17,19,18,20,17,8,23,16,19,15,13,23,13,15,20,23,17,15,14,21,20,16,14,14,20,21,8,20,11,15,19,19,23,17,0,21,14,13,20,16,24,15,21,19,15,18,17,13,21,15,14,13,19,21,15,20,16,17,13,15,18,16,20,13,22,22,15,20,14,20,11,10
"296",13,14,15,12,13,13,18,12,15,17,16,18,15,18,13,19,15,15,14,6,14,14,17,22,21,15,14,19,18,20,19,21,18,19,24,21,20,16,18,24,14,16,5,24,18,16,19,22,21,17,15,19,15,22,19,15,22,26,14,20,8,18,21,0,15,14,21,17,25,20,22,20,20,19,18,14,16,16,15,14,20,22,16,21,21,18,14,16,19,17,21,24,23,23,20,15,15,21,22,21
"308",6,7,8,3,4,4,11,3,8,10,9,11,6,11,4,12,8,6,5,15,5,7,10,15,14,6,5,12,9,13,12,14,11,12,17,14,13,7,11,17,5,9,14,17,11,7,12,15,14,8,6,12,14,15,12,14,15,19,13,13,17,9,14,15,0,5,14,8,18,13,15,11,13,12,11,5,15,7,6,5,11,13,7,14,14,9,5,7,12,10,14,17,16,16,13,14,8,14,15,14
"312",5,6,7,2,1,3,10,2,7,9,8,10,5,10,3,11,7,3,4,14,4,6,9,14,13,5,4,11,6,12,11,13,10,11,16,13,12,6,10,16,4,8,13,16,10,6,11,14,13,5,5,11,13,14,11,13,14,18,12,12,16,6,13,14,5,0,13,7,17,12,14,10,12,11,10,4,14,6,5,4,8,10,4,13,13,6,4,6,11,9,13,16,15,15,12,13,7,13,14,13
"313",8,7,14,11,12,12,17,11,14,10,15,17,14,17,12,12,8,14,13,21,13,13,10,15,14,14,13,18,17,13,12,14,11,18,17,20,13,15,17,17,13,9,20,17,11,15,18,15,14,16,14,18,20,15,18,20,21,25,19,13,23,17,20,21,14,13,0,16,18,19,15,19,19,12,11,13,21,15,14,13,19,21,15,14,20,17,13,15,12,10,14,23,16,16,19,20,8,14,21,20
"317",8,9,10,5,6,4,13,5,10,12,11,13,8,13,6,14,10,8,7,17,7,9,12,17,16,8,7,14,11,15,14,16,13,14,19,16,15,9,13,19,7,11,16,19,13,9,14,17,16,10,8,14,16,17,14,16,17,21,15,15,19,11,16,17,8,7,16,0,20,15,17,13,15,14,13,7,17,1,8,7,13,15,9,16,16,11,7,9,14,12,16,19,18,18,15,16,10,16,17,16
"321",12,11,18,15,16,16,21,15,18,14,19,21,18,21,16,16,12,18,17,25,17,17,14,19,18,18,17,22,21,17,16,18,15,22,21,24,17,19,21,21,17,13,24,21,15,19,22,19,18,20,18,22,24,19,22,24,25,29,23,17,27,21,24,25,18,17,18,20,0,23,19,23,23,16,15,17,25,19,18,17,23,25,19,18,24,21,17,19,16,14,18,27,20,20,23,24,12,18,25,24
"329",11,12,9,10,11,11,12,10,9,15,10,12,13,12,11,17,13,13,12,20,12,8,15,20,19,13,12,13,16,18,17,19,16,13,22,9,18,14,12,22,12,14,19,22,16,14,13,20,19,15,13,13,19,20,13,19,16,20,18,18,22,16,15,20,13,12,19,15,23,0,20,18,14,17,16,12,20,14,13,12,18,20,14,19,15,16,12,14,17,15,19,18,21,21,14,19,13,19,16,15
"333",9,8,15,12,13,13,18,12,15,11,16,18,15,18,13,13,9,15,14,22,14,14,7,16,15,15,14,19,18,14,13,15,4,19,18,21,14,16,18,18,14,10,21,18,12,16,19,16,15,17,15,19,21,16,19,21,22,26,20,14,24,18,21,22,15,14,15,17,19,20,0,20,20,13,12,14,22,16,15,14,20,22,16,15,21,18,14,16,13,11,15,24,17,13,20,21,9,7,22,21
"343",11,12,13,8,9,9,16,8,13,15,14,16,11,16,9,17,13,11,10,20,10,12,15,20,19,11,10,17,14,18,17,19,16,17,22,19,18,12,16,22,10,14,19,22,16,12,17,20,19,13,11,17,19,20,17,19,20,24,18,18,22,14,19,20,11,10,19,13,23,18,20,0,18,17,16,10,20,12,11,10,16,18,12,19,19,14,10,12,17,15,19,22,21,21,18,19,13,19,20,19
"347",11,12,9,10,11,11,12,10,9,15,6,12,13,2,11,17,13,13,12,20,12,8,15,20,19,13,12,13,16,18,17,19,16,13,22,15,18,14,8,22,12,14,19,22,16,14,3,20,19,15,13,3,19,20,13,19,16,20,18,18,22,16,15,20,13,12,19,15,23,14,20,18,0,17,16,12,20,14,13,12,18,20,14,19,11,16,12,14,17,15,19,18,21,21,4,19,13,19,16,15
"348",6,5,12,9,10,10,15,9,12,8,13,15,12,15,10,10,6,12,11,19,11,11,8,13,12,12,11,16,15,11,10,10,9,16,15,18,11,13,15,13,11,7,18,13,9,13,16,13,12,14,12,16,18,13,16,18,19,23,17,11,21,15,18,19,12,11,12,14,16,17,13,17,17,0,9,11,19,13,12,11,17,19,13,12,18,15,11,13,10,6,12,21,12,14,17,18,6,12,19,18
"349",5,4,11,8,9,9,14,8,11,7,12,14,11,14,9,9,3,11,10,18,10,10,7,12,11,11,10,15,14,10,9,11,8,15,14,17,10,12,14,14,10,6,17,14,8,12,15,12,11,13,11,15,17,12,15,17,18,22,16,10,20,14,17,18,11,10,11,13,15,16,12,16,16,9,0,10,18,12,11,10,16,18,12,11,17,14,10,12,7,7,11,20,13,13,16,17,5,11,18,17
"355",5,6,7,2,3,3,10,2,7,9,8,10,5,10,3,11,7,5,4,14,4,6,9,14,13,5,4,11,8,12,11,13,10,11,16,13,12,6,10,16,4,8,13,16,10,6,11,14,13,7,5,11,13,14,11,13,14,18,12,12,16,8,13,14,5,4,13,7,17,12,14,10,12,11,10,0,14,6,5,4,10,12,6,13,13,8,4,6,11,9,13,16,15,15,12,13,7,13,14,13
"360",13,14,15,12,13,13,18,12,15,17,16,18,15,18,13,19,15,15,14,16,14,14,17,22,21,15,14,19,18,20,19,21,18,19,24,21,20,16,18,24,14,16,15,24,18,16,19,22,21,17,15,19,13,22,19,13,22,26,12,20,18,18,21,16,15,14,21,17,25,20,22,20,20,19,18,14,0,16,15,14,20,22,16,21,21,18,14,16,19,17,21,24,23,23,20,13,15,21,22,21
"364",7,8,9,4,5,3,12,4,9,11,10,12,7,12,5,13,9,7,6,16,6,8,11,16,15,7,6,13,10,14,13,15,12,13,18,15,14,8,12,18,6,10,15,18,12,8,13,16,15,9,7,13,15,16,13,15,16,20,14,14,18,10,15,16,7,6,15,1,19,14,16,12,14,13,12,6,16,0,7,6,12,14,8,15,15,10,6,8,13,11,15,18,17,17,14,15,9,15,16,15
"366",6,7,8,3,4,4,11,3,8,10,9,11,6,11,4,12,8,6,5,15,5,7,10,15,14,6,1,12,9,13,12,14,11,12,17,14,13,7,11,17,5,9,14,17,11,7,12,15,14,8,6,12,14,15,12,14,15,19,13,13,17,9,14,15,6,5,14,8,18,13,15,11,13,12,11,5,15,7,0,5,11,13,7,14,14,9,5,7,12,10,14,17,16,16,13,14,8,14,15,14
"367",5,6,7,2,3,3,10,2,7,9,8,10,5,10,3,11,7,5,4,14,4,6,9,14,13,5,4,11,8,12,11,13,10,11,16,13,12,6,10,16,4,8,13,16,10,6,11,14,13,7,5,11,13,14,11,13,14,18,12,12,16,8,13,14,5,4,13,7,17,12,14,10,12,11,10,4,14,6,5,0,10,12,6,13,13,8,4,6,11,9,13,16,15,15,12,13,7,13,14,13
"371",11,12,13,8,7,9,16,8,13,15,14,16,11,16,9,17,13,9,10,20,10,12,15,20,19,11,10,17,6,18,17,19,16,17,22,19,18,12,16,22,10,14,19,22,16,12,17,20,19,5,11,17,19,20,17,19,20,24,18,18,22,12,19,20,11,8,19,13,23,18,20,16,18,17,16,10,20,12,11,10,0,16,4,19,19,12,10,12,17,15,19,22,21,21,18,19,13,19,20,19
"373",13,14,15,10,9,11,18,10,15,17,16,18,13,18,11,19,15,7,12,22,12,14,17,22,21,13,12,19,14,20,19,21,18,19,24,21,20,14,18,24,12,16,21,24,18,14,19,22,21,13,13,19,21,22,19,21,22,26,20,20,24,10,21,22,13,10,21,15,25,20,22,18,20,19,18,12,22,14,13,12,16,0,12,21,21,14,12,14,19,17,21,24,23,23,20,21,15,21,22,21
"377",7,8,9,4,3,5,12,4,9,11,10,12,7,12,5,13,9,5,6,16,6,8,11,16,15,7,6,13,2,14,13,15,12,13,18,15,14,8,12,18,6,10,15,18,12,8,13,16,15,1,7,13,15,16,13,15,16,20,14,14,18,8,15,16,7,4,15,9,19,14,16,12,14,13,12,6,16,8,7,6,4,12,0,15,15,8,6,8,13,11,15,18,17,17,14,15,9,15,16,15
"385",8,7,14,11,12,12,17,11,14,10,15,17,14,17,12,12,8,14,13,21,13,13,10,15,14,14,13,18,17,1,12,14,11,18,17,20,13,15,17,17,13,9,20,17,11,15,18,15,14,16,14,18,20,15,18,20,21,25,19,13,23,17,20,21,14,13,14,16,18,19,15,19,19,12,11,13,21,15,14,13,19,21,15,0,20,17,13,15,12,10,14,23,16,16,19,20,8,14,21,20
"388",12,13,10,11,12,12,13,11,10,16,5,13,14,9,12,18,14,14,13,21,13,9,16,21,20,14,13,14,17,19,18,20,17,14,23,16,19,15,3,23,13,15,20,23,17,15,10,21,20,16,14,10,20,21,14,20,17,21,19,19,23,17,16,21,14,13,20,16,24,15,21,19,11,18,17,13,21,15,14,13,19,21,15,20,0,17,13,15,18,16,20,19,22,22,11,20,14,20,17,16
"392",9,10,11,6,5,7,14,6,11,13,12,14,9,14,7,15,11,7,8,18,8,10,13,18,17,9,8,15,10,16,15,17,14,15,20,17,16,10,14,20,8,12,17,20,14,10,15,18,17,9,9,15,17,18,15,17,18,22,16,16,20,10,17,18,9,6,17,11,21,16,18,14,16,15,14,8,18,10,9,8,12,14,8,17,17,0,8,10,15,13,17,20,19,19,16,17,11,17,18,17
"393",5,6,7,2,3,3,10,2,7,9,8,10,5,10,3,11,7,5,4,14,4,6,9,14,13,5,4,11,8,12,11,13,10,11,16,13,12,6,10,16,4,8,13,16,10,6,11,14,13,7,5,11,13,14,11,13,14,18,12,12,16,8,13,14,5,4,13,7,17,12,14,10,12,11,10,4,14,6,5,4,10,12,6,13,13,8,0,6,11,9,13,16,15,15,12,13,7,13,14,13
"394",7,8,9,4,5,5,12,4,9,11,10,12,7,12,5,13,9,7,6,16,6,8,11,16,15,7,6,13,10,14,13,15,12,13,18,15,14,8,12,18,6,10,15,18,12,8,13,16,15,9,7,13,15,16,13,15,16,20,14,14,18,10,15,16,7,6,15,9,19,14,16,12,14,13,12,6,16,8,7,6,12,14,8,15,15,10,6,0,13,11,15,18,17,17,14,15,9,15,16,15
"424",6,5,12,9,10,10,15,9,12,8,13,15,12,15,10,10,4,12,11,19,11,11,8,13,12,12,11,16,15,11,10,12,9,16,15,18,11,13,15,15,11,7,18,15,9,13,16,13,12,14,12,16,18,13,16,18,19,23,17,11,21,15,18,19,12,11,12,14,16,17,13,17,17,10,7,11,19,13,12,11,17,19,13,12,18,15,11,13,0,8,12,21,14,14,17,18,6,12,19,18
"432",4,3,10,7,8,8,13,7,10,6,11,13,10,13,8,8,4,10,9,17,9,9,6,11,10,10,9,14,13,9,8,8,7,14,13,16,9,11,13,11,9,5,16,11,7,11,14,11,10,12,10,14,16,11,14,16,17,21,15,9,19,13,16,17,10,9,10,12,14,15,11,15,15,6,7,9,17,11,10,9,15,17,11,10,16,13,9,11,8,0,10,19,8,12,15,16,4,10,17,16
"436",8,7,14,11,12,12,17,11,14,4,15,17,14,17,12,6,8,14,13,21,13,13,10,13,12,14,13,18,17,13,2,14,11,18,11,20,11,15,17,17,13,9,20,17,11,15,18,13,8,16,14,18,20,15,18,20,21,25,19,7,23,17,20,21,14,13,14,16,18,19,15,19,19,12,11,13,21,15,14,13,19,21,15,14,20,17,13,15,12,10,0,23,16,16,19,20,8,14,21,20
"437",15,16,13,14,15,15,10,14,13,19,14,10,17,16,15,21,17,17,16,24,16,12,19,24,23,17,16,11,20,22,21,23,20,11,26,19,22,18,16,26,16,18,23,26,20,18,17,24,23,19,17,17,23,24,11,23,14,4,22,22,26,20,13,24,17,16,23,19,27,18,24,22,18,21,20,16,24,18,17,16,22,24,18,23,19,20,16,18,21,19,23,0,25,25,18,23,17,23,14,13
"440",10,9,16,13,14,14,19,13,16,12,17,19,16,19,14,14,10,16,15,23,15,15,12,17,16,16,15,20,19,15,14,14,13,20,19,22,15,17,19,17,15,11,22,17,13,17,20,17,16,18,16,20,22,17,20,22,23,27,21,15,25,19,22,23,16,15,16,18,20,21,17,21,21,12,13,15,23,17,16,15,21,23,17,16,22,19,15,17,14,8,16,25,0,18,21,22,10,16,23,22
"446",10,9,16,13,14,14,19,13,16,12,17,19,16,19,14,14,10,16,15,23,15,15,6,17,16,16,15,20,19,15,14,16,9,20,19,22,15,17,19,19,15,11,22,19,13,17,20,17,16,18,16,20,22,17,20,22,23,27,21,15,25,19,22,23,16,15,16,18,20,21,13,21,21,14,13,15,23,17,16,15,21,23,17,16,22,19,15,17,14,12,16,25,18,0,21,22,10,12,23,22
"450",11,12,9,10,11,11,12,10,9,15,6,12,13,2,11,17,13,13,12,20,12,8,15,20,19,13,12,13,16,18,17,19,16,13,22,15,18,14,8,22,12,14,19,22,16,14,3,20,19,15,13,3,19,20,13,19,16,20,18,18,22,16,15,20,13,12,19,15,23,14,20,18,4,17,16,12,20,14,13,12,18,20,14,19,11,16,12,14,17,15,19,18,21,21,0,19,13,19,16,15
"458",12,13,14,11,12,12,17,11,14,16,15,17,14,17,12,18,14,14,13,15,13,13,16,21,20,14,13,18,17,19,18,20,17,18,23,20,19,15,17,23,13,15,14,23,17,15,18,21,20,16,14,18,12,21,18,12,21,25,11,19,17,17,20,15,14,13,20,16,24,19,21,19,19,18,17,13,13,15,14,13,19,21,15,20,20,17,13,15,18,16,20,23,22,22,19,0,14,20,21,20
"470",2,1,8,5,6,6,11,5,8,4,9,11,8,11,6,6,2,8,7,15,7,7,4,9,8,8,7,12,11,7,6,8,5,12,11,14,7,9,11,11,7,3,14,11,5,9,12,9,8,10,8,12,14,9,12,14,15,19,13,7,17,11,14,15,8,7,8,10,12,13,9,13,13,6,5,7,15,9,8,7,13,15,9,8,14,11,7,9,6,4,8,17,10,10,13,14,0,8,15,14
"480",8,7,14,11,12,12,17,11,14,10,15,17,14,17,12,12,8,14,13,21,13,13,6,15,14,14,13,18,17,13,12,14,3,18,17,20,13,15,17,17,13,9,20,17,11,15,18,15,14,16,14,18,20,15,18,20,21,25,19,13,23,17,20,21,14,13,14,16,18,19,7,19,19,12,11,13,21,15,14,13,19,21,15,14,20,17,13,15,12,10,14,23,16,12,19,20,8,0,21,20
"483",13,14,11,12,13,13,8,12,11,17,12,4,15,14,13,19,15,15,14,22,14,10,17,22,21,15,14,9,18,20,19,21,18,9,24,17,20,16,14,24,14,16,21,24,18,16,15,22,21,17,15,15,21,22,9,21,12,16,20,20,24,18,11,22,15,14,21,17,25,16,22,20,16,19,18,14,22,16,15,14,20,22,16,21,17,18,14,16,19,17,21,14,23,23,16,21,15,21,0,11
"499",12,13,10,11,12,12,7,11,10,16,11,7,14,13,12,18,14,14,13,21,13,9,16,21,20,14,13,8,17,19,18,20,17,2,23,16,19,15,13,23,13,15,20,23,17,15,14,21,20,16,14,14,20,21,8,20,11,15,19,19,23,17,10,21,14,13,20,16,24,15,21,19,15,18,17,13,21,15,14,13,19,21,15,20,16,17,13,15,18,16,20,13,22,22,15,20,14,20,11,0
