"","V1","V5","V10","V11","V26","V36","V37","V42","V44","V47","V48","V51","V54","V60","V70","V74","V77","V88","V91","V96","V99","V114","V120","V122","V123","V127","V128","V134","V139","V140","V142","V148","V151","V153","V160","V162","V166","V173","V178","V180","V181","V186","V191","V192","V193","V197","V204","V210","V212","V214","V216","V219","V223","V228","V257","V258","V262","V270","V271","V281","V283","V287","V293","V296","V308","V312","V313","V317","V321","V329","V333","V343","V347","V348","V349","V355","V360","V364","V366","V367","V371","V373","V377","V385","V388","V392","V393","V394","V424","V432","V436","V437","V440","V446","V450","V458","V470","V480","V483","V499"
"70",4,5,6,1,2,2,9,1,6,8,7,9,4,9,0,10,6,4,3,13,3,5,8,13,12,4,3,10,7,11,10,12,9,10,15,12,11,5,9,15,3,7,12,15,9,5,10,13,12,6,2,10,12,13,10,12,13,17,11,11,15,7,12,13,4,3,12,6,16,11,13,9,11,10,9,3,13,5,4,3,9,11,5,12,12,7,3,5,10,8,12,15,14,14,11,12,6,12,13,12
"74",6,5,12,9,10,10,15,9,12,2,13,15,12,15,10,0,6,12,11,19,11,11,8,11,10,12,11,16,15,11,4,12,9,16,5,18,9,13,15,15,11,7,18,15,9,13,16,11,2,14,12,16,18,13,16,18,19,23,17,5,21,15,18,19,12,11,12,14,16,17,13,17,17,10,9,11,19,13,12,11,17,19,13,12,18,15,11,13,10,8,6,21,14,14,17,18,6,12,19,18
"77",2,1,8,5,6,6,11,5,8,4,9,11,8,11,6,6,0,8,7,15,7,7,4,9,8,8,7,12,11,7,6,8,5,12,11,14,7,9,11,11,7,3,14,11,5,9,12,9,8,10,8,12,14,9,12,14,15,19,13,7,17,11,14,15,8,7,8,10,12,13,9,13,13,6,3,7,15,9,8,7,13,15,9,8,14,11,7,9,4,4,8,17,10,10,13,14,2,8,15,14
"88",6,7,8,3,2,4,11,3,8,10,9,11,6,11,4,12,8,0,5,15,5,7,10,15,14,6,5,12,7,13,12,14,11,12,17,14,13,7,11,17,5,9,14,17,11,7,12,15,14,6,6,12,14,15,12,14,15,19,13,13,17,3,14,15,6,3,14,8,18,13,15,11,13,12,11,5,15,7,6,5,9,7,5,14,14,7,5,7,12,10,14,17,16,16,13,14,8,14,15,14
"91",5,6,7,2,3,3,10,2,7,9,8,10,5,10,3,11,7,5,0,14,4,6,9,14,13,5,4,11,8,12,11,13,10,11,16,13,12,6,10,16,4,8,13,16,10,6,11,14,13,7,5,11,13,14,11,13,14,18,12,12,16,8,13,14,5,4,13,7,17,12,14,10,12,11,10,4,14,6,5,4,10,12,6,13,13,8,4,6,11,9,13,16,15,15,12,13,7,13,14,13
"96",13,14,15,12,13,13,18,12,15,17,16,18,15,18,13,19,15,15,14,0,14,14,17,22,21,15,14,19,18,20,19,21,18,19,24,21,20,16,18,24,14,16,5,24,18,16,19,22,21,17,15,19,15,22,19,15,22,26,14,20,2,18,21,6,15,14,21,17,25,20,22,20,20,19,18,14,16,16,15,14,20,22,16,21,21,18,14,16,19,17,21,24,23,23,20,15,15,21,22,21
"99",5,6,7,2,3,3,10,2,7,9,8,10,5,10,3,11,7,5,4,14,0,6,9,14,13,5,4,11,8,12,11,13,10,11,16,13,12,6,10,16,4,8,13,16,10,6,11,14,13,7,5,11,13,14,11,13,14,18,12,12,16,8,13,14,5,4,13,7,17,12,14,10,12,11,10,4,14,6,5,4,10,12,6,13,13,8,4,6,11,9,13,16,15,15,12,13,7,13,14,13
"114",5,6,3,4,5,5,6,4,3,9,4,6,7,6,5,11,7,7,6,14,6,0,9,14,13,7,6,7,10,12,11,13,10,7,16,9,12,8,6,16,6,8,13,16,10,8,7,14,13,9,7,7,13,14,7,13,10,14,12,12,16,10,9,14,7,6,13,9,17,8,14,12,8,11,10,6,14,8,7,6,12,14,8,13,9,10,6,8,11,9,13,12,15,15,8,13,7,13,10,9
"120",4,3,10,7,8,8,13,7,10,6,11,13,10,13,8,8,4,10,9,17,9,9,0,11,10,10,9,14,13,9,8,10,3,14,13,16,9,11,13,13,9,5,16,13,7,11,14,11,10,12,10,14,16,11,14,16,17,21,15,9,19,13,16,17,10,9,10,12,14,15,7,15,15,8,7,9,17,11,10,9,15,17,11,10,16,13,9,11,8,6,10,19,12,6,15,16,4,6,17,16
"122",9,8,15,12,13,13,18,12,15,9,16,18,15,18,13,11,9,15,14,22,14,14,11,0,3,15,14,19,18,14,11,15,12,19,16,21,2,16,18,18,14,10,21,18,12,16,19,4,13,17,15,19,21,16,19,21,22,26,20,12,24,18,21,22,15,14,15,17,19,20,16,20,20,13,12,14,22,16,15,14,20,22,16,15,21,18,14,16,13,11,13,24,17,17,20,21,9,15,22,21
