iteration,logLikelihood,logPrior,theta,mutation_rate,infection_rate,1,2,3,4,5,6,7,8,9,10,1_InfTime,2_InfTime,3_InfTime,4_InfTime,5_InfTime,6_InfTime,7_InfTime,8_InfTime,9_InfTime,10_InfTime
14000,-1035.8552606280193,-1.4873397025013435,1.0364759612056171e-7,1.3619150414500294e-5,5.738143534203074,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.2213548803309571,0.8073159997888613,0.9860140735722802,1.644209035704214,1.9183042643913844,0.8071600728168911,2.706421306148397,2.918554019104285
15000,-1035.2994022976648,4.3240868839222,1.382350572117517e-7,1.2861661081132564e-5,5.87725686039212,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.14366369964177658,0.8071064075238873,1.2421429791179464,1.6471719968152116,1.9421833836235853,0.807260043874218,2.723559451025922,2.918554019104285
16000,-1035.7158292913828,2.2620108132060017,3.6911655016922733e-7,1.567498438422679e-5,5.074322313084868,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.20352588533574242,0.8073659196480168,1.2266144584675744,1.6023694121417762,1.9421833836235853,0.8073284942101844,2.7075481800114503,2.927621188743582
17000,-1034.4168490558538,0.15888558129519859,1.4528682781412175e-7,1.2632199753389513e-5,5.15064627068517,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.03708730034222638,0.8073936598777488,1.0535736316221287,1.6411744428881907,1.9421833836235853,0.8073020430321887,2.7169567905005705,2.8856488683040586
18000,-1039.025039308875,-1.0081569074297088,1.3942084879872376e-6,1.343936961908064e-5,3.3540032554783403,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.021827472077482712,0.8072838797017748,1.0789804834569914,1.590904912348492,1.9421833836235853,0.8071354109122904,2.6736861842825714,2.8203862305705716
19000,-1037.1721691174341,3.063081576209113,1.411807250929622e-7,1.387099358332655e-5,2.2493613869919917,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.22052168951762732,0.8071025413957341,1.2397136672085352,1.4123991192587437,1.9421833836235853,0.8071016769583774,2.720968598252194,2.8362448562044147
20000,-1035.1861261949216,5.1318388832679425,2.054037837677251e-7,1.4550881912888745e-5,3.1413787290657287,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.20398990888899418,0.8074047585177719,1.1469228763863333,1.6490231806153675,1.9421833836235853,0.8073096819750566,2.697425305422902,2.9207589535861063
21000,-1035.8440671025512,6.334813743900098,2.6691680313235e-7,1.6142554446219102e-5,2.2324734103663744,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.20935010734952345,0.8071062248957062,1.161943609224674,1.6490231806153675,1.9442191696151714,0.8071162870311763,2.7055962455481315,2.916504807257106
22000,-1037.7033467994897,3.3195826808552784,1.5149946209565804e-6,9.716910006651408e-6,3.2813181429602523,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.06440006191157303,0.8070926523946577,1.2131916470141486,1.6346354320533307,1.9442191696151714,0.8073319455043746,2.68555660378447,2.889688109807916
23000,-1036.6915822781305,2.7927687457795995,8.342408250153529e-7,1.4945811636863372e-5,2.8059684418473343,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.007510801406375906,0.8073352023021036,1.0922315945649028,1.6346354320533307,1.9442191696151714,0.8072606995643139,2.701562597776788,2.904069747342594
24000,-1035.0002067583373,4.740024728806254,3.3346515198511247e-7,1.505907534537437e-5,2.8618438361643324,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.15716068252762525,0.8071911721022452,1.2056482463763498,1.58923000793316,1.9442191696151714,0.8071399080132002,2.724103695958715,2.9094169989269334
25000,-1034.2402190090224,8.893880679481564,9.140834791582398e-8,1.510110700683693e-5,2.566562474609088,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.05550890340107232,0.807262818873993,1.2131418109647094,1.6497684863006545,1.9442191696151714,0.8073013944435836,2.725459657375189,2.9094169989269334
26000,-1035.6673652353522,7.1045648921360165,7.7018857080543e-8,1.7259911558539547e-5,2.902129703741261,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.045766189669145724,0.8071663019032039,1.1490388436387113,1.6497684863006545,1.939956478791578,0.8072440297164752,2.7141014421689698,2.928764049655494
27000,-1034.842156470991,9.512594249336008,2.0962002673005965e-8,1.5249817716198824e-5,2.6873978367829245,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.015515784464501452,0.8071350322134843,1.2467640372904494,1.6497684863006545,1.897735223473712,0.8071216955463848,2.724136573954224,2.928764049655494
28000,-1036.7456596341797,9.666239153055336,4.973933262002288e-7,1.1030939951227402e-5,2.5146248828475497,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.06611078370434506,0.8070846473302508,1.2467640372904494,1.6498013714881277,1.8987903531103305,0.8073374804117288,2.721290341187277,2.9287979283449443
29000,-1035.3218157324127,5.503850089301452,5.958410875137033e-7,1.3924518386662827e-5,1.7779021638581218,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.05417543230451747,0.8071327781158878,1.2467640372904494,1.5626165384526312,1.93081307500253,0.8071553661989611,2.704233366143388,2.9287979283449443
30000,-1036.1200184160884,6.96032833932371,5.479056604834458e-7,1.1775483705449663e-5,2.478830383408711,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.15843492432873615,0.8071131825812163,0.8880850168179378,1.6498356366417617,1.944258247482175,0.8071884841856738,2.6682198611579304,2.9287979283449443
31000,-1034.5306243838766,8.947223993542291,2.2331949435214864e-7,1.3913559958005391e-5,2.818263318196816,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.07081831139032259,0.8073568691640727,1.2244498485253847,1.6498356366417617,1.944258247482175,0.8071865558782205,2.6919393851061697,2.9287979283449443
32000,-1038.5764500890693,4.7013661354934175,1.2752235918519131e-6,1.4944068876754489e-5,3.9838419415709407,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.12415457113485093,0.8073272659857929,1.071046827449122,1.6498356366417617,1.944258247482175,0.8072270071394768,2.72253870552453,2.8660670422846524
33000,-1035.0750961310166,2.192122748818409,7.899490823929607e-8,1.3386993289673503e-5,2.853513138587544,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.11408313674408951,0.8073764373349939,1.2112713722120865,1.6066040283861147,1.8950867966742262,0.8070940983296401,2.7229100598904443,2.903743775078285
34000,-1036.682442713996,4.452767000815323,5.9324336937925396e-8,1.2562861400430489e-5,2.08034564847826,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.1730316264565242,0.8072352263915759,1.1114432658443991,1.6433838911622005,1.82283116732209,0.8072283225837537,2.726152703209091,2.922562524060627
35000,-1036.2898577939025,4.406124697554569,8.863657454542765e-7,1.4670017809238881e-5,1.7031748286683754,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.03941186149824789,0.807223014971812,1.1282440217136247,1.6369523771778254,1.9350651604280982,0.8073222187450197,2.726152703209091,2.9025279222893996
36000,-1036.8106481516522,0.5127526588908546,4.980076185714698e-7,1.2192160691867059e-5,1.4124790706846395,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.22953941395018712,0.8073386673491855,1.1073164217255118,1.5814370631891492,1.9280126370239417,0.8071299866678252,2.6369103625298735,2.921960855341708
37000,-1036.7119324296364,6.645697391441248,1.2826865951704816e-7,1.7831021399317196e-5,2.119630819330973,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.21212227324737595,0.8070906897380091,1.242066217316281,1.6409234168009363,1.9394287601538638,0.807282180200957,2.7052981299893553,2.927197411931049
38000,-1037.867405846234,0.6158020115650856,1.2243285633977277e-6,1.2626230372097133e-5,1.5476877017597315,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.20860785001901214,0.8073444098417252,1.1740924736373866,1.5497120427563842,1.935641248819574,0.8072751240119501,2.7109950224532517,2.836604105323602
39000,-1037.6337235804629,-1.9186622510117655,4.890362291660135e-7,1.121770462443185e-5,2.274068025549108,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.13332755519781037,0.8073578610179694,1.1139951793242693,1.5196401371482393,1.8905053543404602,0.8071903391599602,2.7002794857718095,2.775605653611995
40000,-1035.4307206156695,7.99646938361521,4.0017727232098576e-7,1.5522135119869508e-5,1.3781149152732812,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.08488122323308483,0.8071300640691431,1.2496580266853825,1.6428662142054886,1.9228864420230882,0.8072439440100748,2.723147153984134,2.921901123868148
41000,-1037.621557781724,2.6563135963938582,5.421385970429177e-7,1.1553742853216866e-5,1.4040439843255392,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.0897908763629834,0.8072138228276854,1.2496580266853825,1.4258446762596448,1.8479308415908982,0.8072164035532441,2.6713725258948413,2.921901123868148
42000,-1036.2609481323625,7.4062673294617545,1.215345354483726e-6,1.1573648341231094e-5,1.7926773976389028,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.003797055937070948,0.8072475522829862,1.2496580266853825,1.6406637752685451,1.9338714974157443,0.8072765689254265,2.7038248678003334,2.9202401751306413
43000,-1037.610647977372,7.523947196505894,8.38115912033238e-8,1.0664681642499527e-5,3.1383046420638903,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.021452106886982274,0.8073946372094235,1.2496580266853825,1.639309479130347,1.9437007477225805,0.8071549919944846,2.707775497797664,2.901354870678309
44000,-1036.0484848097703,7.924100368991587,3.051264311286837e-7,1.354634171453528e-5,2.3095456063143596,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.06563472592851592,0.8072817656017759,1.2496580266853825,1.6448866328778822,1.924503301863533,0.8071636313413261,2.7263881977928177,2.8096049294521057
45000,-1035.863256729521,6.949136729358402,3.013262928788316e-8,1.3741110467405898e-5,1.9885084632055783,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.008643857119135175,0.8070825772996096,1.2496580266853825,1.6500104699833933,1.9187194874250144,0.8072040083471528,2.680920774520623,2.8334805475052947
